Модель	Наименование	Категория	Цена	Артикул	Ссылка на товар	Источник
1-2-2-2-0	Бюретка (микробюретка), кран с резьбовым уплотнением, ТУ 9464-022-52876351-2016, ГОСТ 29251-91, уп. 1шт	Лабораторная посуда и принадлежности из стекла/Бюретки с краном (кран с резьбовым уплотнением)	1628	10000024	https://minimed.ru/product/401/	minimed.ru
1-2-2-5-0	Бюретка (микробюретка), кран с резьбовым уплотнением, ТУ 9464-022-52876351-2016, ГОСТ 29251-91, уп.1шт	Лабораторная посуда и принадлежности из стекла/Бюретки с краном (кран с резьбовым уплотнением)	1732	10000025	https://minimed.ru/product/402/	minimed.ru
1-1-2-10-0	Бюретка с краном, резьбовым уплотнением, ГОСТ 29251-91, уп.3шт	Лабораторная посуда и принадлежности из стекла/Бюретки с краном (кран с резьбовым уплотнением)	1040	10000026	https://minimed.ru/product/403/	minimed.ru
1-1-2-10-0	Бюретка с краном, резьбовым уплотнением, ГОСТ 29251-91, уп.5/60 шт	Лабораторная посуда и принадлежности из стекла/Бюретки с краном (кран с резьбовым уплотнением)	1047	10000031	https://minimed.ru/product/3863/	minimed.ru
1-1-2-10-0	Бюретка,05 с ПТФЭ краном, резьбовым уплотнением, ГОСТ 29251-91, уп.5/60 шт	Лабораторная посуда и принадлежности из стекла/Бюретки с краном (кран с резьбовым уплотнением)	1452	10000041	https://minimed.ru/product/4327/	minimed.ru
1-1-2-25-0	Бюретка с краном, резьбовым уплотнением, ГОСТ 29251-91, уп. 3шт	Лабораторная посуда и принадлежности из стекла/Бюретки с краном (кран с резьбовым уплотнением)	1062	10000027	https://minimed.ru/product/404/	minimed.ru
1-1-2-25-0	Бюретка с краном, резьбовым уплотнением, ГОСТ 29251-91, уп.5/60 шт	Лабораторная посуда и принадлежности из стекла/Бюретки с краном (кран с резьбовым уплотнением)	1065	10000032	https://minimed.ru/product/3864/	minimed.ru
1-1-2-25-0	Бюретка,1 с ПТФЭ краном, резьбовым уплотнением, ГОСТ 29251-91, уп.5/60 шт	Лабораторная посуда и принадлежности из стекла/Бюретки с краном (кран с резьбовым уплотнением)	1641	10000042	https://minimed.ru/product/4328/	minimed.ru
1-1-2-50-0	Бюретка с краном, резьбовым уплотнением, ГОСТ 29251-91, уп.3шт	Лабораторная посуда и принадлежности из стекла/Бюретки с краном (кран с резьбовым уплотнением)	1091	10000028	https://minimed.ru/product/405/	minimed.ru
1-1-2-100-0	Бюретка с краном, резьбовым уплотнением, ГОСТ 29251-91, уп.3шт	Лабораторная посуда и принадлежности из стекла/Бюретки с краном (кран с резьбовым уплотнением)	1234	10000029	https://minimed.ru/product/409/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Воронки делительные грушевидные с делениями						
ВД-3-125	Воронка делительная, грушевидная с делениями, уп. 2/48 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные грушевидные с делениями	1028	10000401	https://minimed.ru/product/437/	minimed.ru
ВД-3-250	Воронка делительная - 250, грушевидная с делениями, уп.2/32 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные грушевидные с делениями	1170	10000402	https://minimed.ru/product/438/	minimed.ru
ВД-3-500	Воронка делительная - 500, грушевидная с делениями, уп.2/24 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные грушевидные с делениями	1679	10000403	https://minimed.ru/product/439/	minimed.ru
ВД-3-1000	Воронка делительная, грушевидная с делениями, уп.2/12 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные грушевидные с делениями	1847	10000404	https://minimed.ru/product/440/	minimed.ru
ВД-3-1000	Воронка делительная грушевидная с делениями, ПТФЭ кран, уп.2/12 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные грушевидные с делениями	2870	10000408	https://minimed.ru/product/4333/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Воронки делительные грушевидные						
ВД-3-60	Воронка делительная, грушевидная, уп.2/60 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные грушевидные	723	10000332	https://minimed.ru/product/3646/	minimed.ru
ВД-3-125	Воронка делительная, грушевидная, уп.2 /48 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные грушевидные	711	10000328	https://minimed.ru/product/433/	minimed.ru
ВД-3-250	Воронка делительная, грушевидная, уп.2 /32 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные грушевидные	887	10000302	https://minimed.ru/product/434/	minimed.ru
ВД-3-500	Воронка делительная, грушевидная, уп. 2/24 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные грушевидные	1072	10000303	https://minimed.ru/product/435/	minimed.ru
ВД-3-1000	Воронка делительная, грушевидная, уп. 2/12 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные грушевидные	1540	10000301	https://minimed.ru/product/441/	minimed.ru
